,urination_density,shop_count,shop_density,toilet_count,toilet_density,green_space_ratio,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,Male Percent,Female Percent,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,Less Than 9th Grade,"9th to 12th Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,"PercentUnder$10,000","Percetn$10,000to$14,999","Percent$15,000to$24,999","Percetn$25,000to$34,999","Percent$35,000to$49,999","Percetn$50,000to$74,999","Percent$75,000to$99,999","Percetn$100,000to$149,999","Percent$150,000to$199,999","Percetn$200,000ormore",Median Household Income,crime_rate,population_density,subway_count,tree_count,AREA,tree_density
11204,0.000491248028544096,114,2.617369229683583e-06,1,2.2959379207750728e-08,0.019838262118495754,9.3,8.2,7.6,5.7,5.0,14.8,12.2,11.3,5.8,5.6,7.7,4.1,2.8,0.4982067510548524,0.5017932489451477,55.5,1.1,0.6,33.2,0.0,7.0,11.9,16.8,9.9,27.8,10.3,6.2,19.5,9.5,3.3,3.7,10.6,10.6,14.5,14.3,13.7,15.5,7.4,6.5,54984.0,0.00010342063758823073,0.00177599981923635,8.0,4731.0,43555184.613285,0.00010862082303186868
11205,0.0007051671732522796,191,8.207940938422397e-06,5,2.1486756383304705e-07,0.03683565373756131,9.7,8.2,6.7,8.0,8.3,20.4,14.5,9.2,3.3,3.8,4.2,2.5,1.2,0.4587180879956546,0.5412819120043455,52.6,28.6,0.5,6.2,0.0,6.9,16.4,6.1,9.8,18.9,12.2,5.0,28.9,19.1,7.9,4.3,9.3,8.2,11.9,14.8,7.0,11.2,11.4,14.1,62952.0,0.00026747720364741644,0.001767285712526812,11.0,2640.0,23270147.949762303,0.00011345007370384883
11206,0.0006939874364343405,143,3.513451275121514e-06,3,7.370876800954224e-08,0.03950621414598724,8.9,7.2,7.7,6.4,9.0,21.3,12.3,9.0,4.8,3.6,5.6,3.1,0.9,0.4789209922487699,0.5210790077512301,46.2,22.5,1.0,6.4,0.2,17.6,37.6,13.0,12.6,25.5,13.7,5.3,21.6,8.3,9.7,8.1,13.9,13.1,13.7,14.1,10.7,8.7,3.8,4.3,43065.0,0.0002752019144481005,0.0020534034287991642,23.0,4068.0,40700720.9727291,9.994908942093928e-05
11207,0.0008871691820941468,52,7.030232381577972e-07,1,1.3519677656880714e-08,0.1331564595365182,7.4,6.8,6.1,5.4,6.8,16.7,13.5,12.5,5.6,6.0,7.2,4.1,1.9,0.4559080854435604,0.5440919145564397,13.8,63.7,0.3,1.5,0.1,15.4,32.6,9.5,10.8,36.0,17.4,8.4,12.8,5.1,10.4,5.5,9.4,9.1,13.0,17.8,13.6,12.8,5.1,3.3,42276.0,0.0003313523451195006,0.0012648469628671322,31.0,8634.0,73966260.541061,0.00011672889688950808
11208,0.0006567100942696749,25,3.152438658055086e-07,2,2.5219509264440684e-08,0.16521731275857615,7.8,7.4,7.8,6.7,6.7,16.0,13.1,11.6,7.0,5.3,7.0,2.8,0.9,0.4722877243583498,0.5277122756416502,23.3,52.8,0.2,6.7,0.1,13.4,39.9,8.9,8.4,49.3,12.5,6.2,11.2,3.6,12.1,3.1,10.0,9.6,13.1,17.6,11.8,13.3,4.5,4.8,45946.0,0.00018006567100942696,0.0011904869348279225,17.0,8245.0,79303684.263991,0.00010396742694265673
11209,0.0008086058768319977,229,3.959039400697265e-06,1,1.7288381662433473e-08,0.1275055202350708,6.0,5.1,4.8,5.3,4.9,16.0,14.6,12.5,6.6,6.6,10.1,5.0,2.6,0.4806195881113972,0.5193804118886028,70.8,4.2,0.1,13.1,0.1,5.9,17.8,5.2,6.1,18.1,13.9,5.8,28.5,22.4,2.8,1.5,5.3,5.3,7.4,13.8,11.2,21.9,11.9,18.9,79524.0,0.0001588332972348567,0.0011973068720318302,11.0,6201.0,57842313.9612272,0.00010720525468874996
11210,0.0005069557308363279,14,2.9235477850214126e-07,1,2.0882484178724375e-08,0.012653659279723822,6.1,6.8,7.1,7.1,6.4,14.0,12.6,11.8,6.6,5.9,9.9,3.8,2.0,0.4730307739134614,0.5269692260865386,31.8,56.5,0.0,3.8,0.0,4.6,7.6,4.0,6.0,25.8,19.9,8.1,22.1,14.1,3.7,0.7,5.7,5.9,11.3,17.7,13.6,19.4,10.6,11.4,70776.0,0.00011928370137325359,0.0014005255664145074,8.0,5452.0,47887022.9921604,0.0001138513037424053
11211,0.00136376332955423,210,5.188915865626125e-06,3,7.412736950894464e-08,0.037709916831625785,9.2,6.6,6.0,5.3,6.6,26.9,15.7,8.6,3.3,3.2,5.0,2.4,1.4,0.5074358508430485,0.4925641491569514,71.2,6.3,0.3,6.4,0.0,10.3,23.9,7.7,8.3,17.9,10.2,3.6,33.6,18.8,4.7,6.1,11.8,8.5,9.6,11.6,8.3,11.8,9.5,18.1,90871.0,0.00044363385419233993,0.0015038219452279602,27.0,4143.0,40470881.6712834,0.00010236989729185256
11212,0.0005842653757184079,19,4.526816184308885e-07,2,4.765069667693563e-08,0.05095504265372634,6.3,5.1,6.8,5.6,5.9,16.1,12.9,13.0,7.4,6.5,8.5,4.3,1.5,0.4221808014911464,0.5778191985088537,8.6,77.4,0.1,0.9,0.1,6.7,18.0,8.1,13.8,35.0,19.2,8.3,11.7,3.8,13.4,4.4,12.0,11.7,13.8,17.5,8.2,12.8,3.3,2.8,29385.0,0.00011923783177926692,0.001998136663753942,10.0,4205.0,41972104.0714198,0.00010018558976325717
11213,0.0005606638259699485,35,1.1811951928023957e-06,2,6.74968681601369e-08,0.08796212235201502,6.7,5.4,6.2,5.8,8.5,17.9,13.4,11.4,6.5,5.0,7.5,4.3,1.4,0.4671128788103648,0.5328871211896352,25.2,64.2,0.1,2.1,0.0,5.2,11.7,7.4,10.8,24.1,18.6,6.1,19.4,13.7,6.6,5.7,11.9,8.5,13.6,12.5,11.3,15.6,7.8,6.6,48318.0,0.00019222759747541092,0.0021067797458823533,12.0,3652.0,29631004.437939003,0.00012324928126040998
