,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,zip code tabulation area
149,6.8,4.8,4.9,3.6,6.7,20.3,15.4,13.8,5.8,5.6,6.6,3.1,2.6,10030.0
150,6.8,4.2,5.0,4.0,5.6,18.4,13.8,14.2,5.2,4.6,9.0,5.3,3.9,10037.0
154,5.3,5.0,4.1,3.2,3.4,15.0,17.8,28.3,4.3,5.5,6.3,0.9,0.9,10280.0
155,6.8,5.7,7.5,7.3,7.3,14.9,12.7,13.2,7.1,6.8,6.3,2.7,1.8,10302.0
156,5.8,6.4,8.6,8.8,6.5,14.2,13.8,12.0,6.0,7.1,6.3,3.9,0.7,10303.0
157,9.6,8.1,8.8,6.8,7.6,16.9,12.8,11.1,5.3,4.1,5.4,2.8,0.8,10457.0
158,1.9,9.1,4.9,3.2,2.2,19.9,10.3,21.6,2.8,3.7,11.1,6.1,3.4,10464.0
159,6.1,6.0,6.9,5.1,4.7,14.0,13.0,12.1,7.6,8.2,10.2,4.6,1.5,10309.0
160,7.6,6.9,7.5,5.7,6.4,17.0,13.3,12.5,6.7,5.2,6.5,3.2,1.5,10467.0
161,7.4,7.5,7.9,7.7,7.9,16.3,12.4,12.4,6.1,5.1,6.0,2.5,0.8,10456.0
162,6.4,5.5,4.7,5.0,7.1,18.9,15.4,12.5,6.1,4.9,7.0,3.8,2.6,10035.0
163,7.5,4.6,2.6,1.5,4.7,23.1,15.2,10.5,4.9,5.3,9.4,7.1,3.6,10065.0
164,4.7,4.7,2.1,3.8,6.9,18.9,11.6,10.8,3.3,4.6,14.9,9.6,4.0,10075.0
170,9.0,6.6,6.9,6.2,6.9,18.0,12.1,12.2,6.0,4.6,6.3,4.0,1.2,10468.0
172,5.7,5.9,5.3,5.7,5.2,14.1,14.0,12.7,6.8,7.3,10.5,4.7,2.2,10305.0
173,6.9,6.9,6.6,6.8,7.7,16.8,13.4,12.2,5.4,4.4,6.6,4.1,2.2,10451.0
174,6.0,5.7,6.0,5.0,5.4,12.8,12.5,13.6,6.2,6.5,10.8,6.2,3.3,10463.0
175,7.9,8.0,7.1,6.6,8.3,16.3,12.2,13.6,6.2,4.9,5.5,2.7,0.7,10453.0
176,8.5,8.3,7.9,6.2,8.2,16.5,13.9,11.9,4.9,4.8,4.9,2.7,1.3,10454.0
177,7.5,8.2,8.0,7.9,8.2,16.8,12.0,12.9,6.0,3.9,5.0,2.5,1.1,10455.0
178,8.1,7.9,7.1,8.8,9.8,17.7,11.2,12.2,4.7,4.0,5.3,2.6,0.8,10458.0
179,6.1,4.0,6.4,6.4,6.6,14.3,12.5,12.1,6.5,6.8,8.9,6.2,3.2,10469.0
180,2.8,1.5,1.6,13.2,10.6,28.2,11.4,8.2,4.6,5.2,7.3,3.9,1.5,10003.0
181,3.3,2.0,3.4,3.1,8.4,27.2,13.6,9.5,8.6,6.0,7.7,4.9,2.3,10009.0
182,2.8,2.2,2.3,4.0,5.6,23.5,13.9,13.6,9.5,6.2,9.1,5.9,1.5,10011.0
183,4.5,2.1,2.7,2.1,3.3,20.2,12.7,9.1,6.4,8.9,13.5,10.5,4.3,10022.0
184,4.7,4.6,3.9,2.3,3.9,22.0,14.5,12.5,6.4,5.5,10.1,5.7,4.0,10028.0
186,5.6,4.2,3.3,2.7,5.2,19.3,15.3,14.3,4.7,5.7,10.4,4.9,4.6,10044.0
187,22.0,1.1,2.5,1.5,0.0,8.6,24.4,5.2,0.0,0.0,13.5,18.5,2.7,10162.0
189,5.1,5.9,7.5,7.6,6.5,11.6,14.3,15.7,6.3,5.6,8.3,4.2,1.4,10307.0
190,7.3,7.1,7.6,7.8,7.4,15.8,12.3,12.4,5.6,4.9,7.7,2.7,1.3,10460.0
191,6.5,5.2,5.6,7.3,7.3,12.6,12.4,13.9,7.7,5.3,7.5,5.4,3.2,10465.0
192,7.8,4.2,3.7,4.4,6.4,17.2,15.7,12.5,6.3,5.6,8.8,5.6,1.8,10470.0
193,6.3,3.1,4.2,8.1,7.0,9.7,11.2,9.5,6.8,6.0,13.2,7.8,7.3,10471.0
194,3.6,4.3,2.3,3.2,4.6,38.4,25.5,13.6,2.2,1.8,0.5,0.0,0.0,10006.0
195,3.4,1.4,1.7,2.9,10.8,29.8,14.2,12.5,4.1,4.7,9.6,3.5,1.5,10012.0
196,6.1,4.5,4.1,2.7,6.5,17.4,17.4,12.9,5.7,5.3,9.1,5.0,3.3,10013.0
197,3.9,1.6,1.6,1.9,5.1,29.5,15.6,11.2,8.0,5.3,9.3,4.8,2.3,10014.0
198,5.1,3.8,3.1,4.0,3.7,17.2,16.2,11.5,7.7,5.1,13.1,6.6,3.0,10023.0
199,6.4,4.4,4.8,2.2,2.5,18.9,15.5,12.1,6.6,6.3,11.5,5.0,3.8,10024.0
200,3.5,3.6,3.2,4.1,9.0,24.1,12.5,12.7,6.1,5.3,8.8,4.3,2.8,10032.0
204,5.0,5.8,6.1,5.8,6.0,12.9,11.7,14.3,8.0,6.0,10.3,5.5,2.6,10306.0
205,6.3,5.4,6.5,4.5,5.5,17.5,12.3,13.2,6.4,5.9,8.7,5.1,2.7,10461.0
